-- Parameters range: 
svm_kernel ; ['rbf']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.8698253275596652;0.8849028400597909;0.0;rbf
1;1.0;0.8702724184547511;0.8889985052316891;0.0;rbf
2;1.0;0.8753540725459399;0.8851121076233184;0.0;rbf
3;1.0;0.8651921039617501;0.8887294469357251;0.0;rbf
4;1.0;0.8680317172197534;0.8894768310911809;0.0;rbf
5;1.0;0.8738600856673042;0.8847832585949178;0.0;rbf
6;1.0;0.8692269737025713;0.8887593423019432;0.0;rbf
7;1.0;0.8696751809294803;0.8875635276532137;0.0;rbf
8;1.0;0.873412213339942;0.8853512705530642;0.0;rbf
9;1.0;0.8657905694520261;0.8905530642750372;0.0;rbf
MEAN;1.0;0.8700640662833183;0.887423019431988;0.0;
STD;0.0;0.0031730996752962573;0.002072723592311858;0.0;

