-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.8332083041691645;0.8403587443946188;0.0;rbf
1;1.0;0.8379903347990769;0.8368908819133034;0.0;rbf
2;1.0;0.8444173920032686;0.8339611360239163;0.0;rbf
3;1.0;0.8376927207350822;0.839252615844544;0.0;rbf
4;1.0;0.8323123362480758;0.8408370702541106;0.0;rbf
5;1.0;0.8394859961754472;0.8377578475336322;0.0;rbf
6;1.0;0.8330598320367137;0.8398804185351271;0.0;rbf
7;1.0;0.8387371607886214;0.839252615844544;0.0;rbf
8;1.0;0.8382900698935355;0.8369805680119582;0.0;rbf
9;1.0;0.8360482523267146;0.8419730941704036;0.0;rbf
MEAN;1.0;0.8371242399175699;0.8387144992526159;0.0;
STD;0.0;0.003463640490110224;0.002227275006166135;0.0;

