-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.715436793422405;0.7364942528735632;0.0;rbf
1;1.0;0.7314285714285714;0.7140804597701149;0.0;rbf
2;1.0;0.7213669064748202;0.7212643678160919;0.0;rbf
3;1.0;0.7111819116135663;0.7204022988505747;0.0;rbf
4;1.0;0.7183556012332991;0.7037356321839081;0.0;rbf
5;1.0;0.726978417266187;0.7252873563218392;0.0;rbf
6;1.0;0.7111819116135664;0.7112068965517242;0.0;rbf
7;1.0;0.6982219938335046;0.7077586206896552;0.0;rbf
8;1.0;0.7097738951695787;0.7261494252873563;0.0;rbf
9;1.0;0.7198047276464543;0.728735632183908;0.0;rbf
MEAN;1.0;0.7163730729701953;0.7195114942528736;0.0;
STD;0.0;0.00898649074997012;0.009696689951217394;0.0;

