-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.8695906432748538;0.8901098901098902;0.0;rbf
1;1.0;0.9011695906432748;0.8637362637362639;0.0;rbf
2;1.0;0.8812865497076023;0.8791208791208792;0.0;sigmoid
3;1.0;0.8923976608187134;0.876923076923077;0.0;rbf
4;1.0;0.8467836257309941;0.8923076923076924;0.0;rbf
5;1.0;0.8368421052631578;0.9208791208791209;0.0;sigmoid
6;1.0;0.87953216374269;0.8637362637362637;0.0;rbf
7;1.0;0.8918128654970762;0.8747252747252748;0.0;sigmoid
8;1.0;0.8678362573099415;0.887912087912088;0.0;rbf
9;1.0;0.9140350877192983;0.8681318681318683;0.0;rbf
MEAN;1.0;0.8781286549707602;0.8817582417582418;0.0;
STD;0.0;0.022558550594347904;0.01632302824406781;0.0;

