-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.8145970695970697;0.8137931034482758;0.0;rbf
1;1.0;0.8336263736263737;0.8091954022988505;0.0;rbf
2;1.0;0.8069230769230769;0.8126436781609195;0.0;rbf
3;1.0;0.8145238095238095;0.8107279693486591;0.0;rbf
4;1.0;0.8280219780219781;0.7977011494252875;0.0;rbf
5;1.0;0.7991941391941392;0.8114942528735632;0.0;rbf
6;1.0;0.7992490842490841;0.8107279693486589;0.0;rbf
7;1.0;0.8241391941391942;0.8053639846743295;0.0;rbf
8;1.0;0.8068131868131868;0.8218390804597699;0.0;rbf
9;1.0;0.7896520146520146;0.8268199233716474;0.0;rbf
MEAN;1.0;0.8116739926739927;0.8120306513409961;0.0;
STD;0.0;0.01327592550105415;0.007615177470531658;0.0;

