-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 16
mode ; 0.06

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden
0;0.98515625;0.9823734521865845;0.9823232889175415;10.6;0.01;16
1;0.99375;0.9949683547019958;0.9823232889175415;13.4;0.01;16
2;0.99140625;0.9874366998672486;0.9848484992980957;11.2;0.01;16
3;0.99296875;0.9899051070213318;0.9777778148651123;9.6;0.01;16
4;0.98671875;0.9823734164237976;0.9919192075729371;10.6;0.01;16
5;0.9765625;0.9823417901992798;0.9853536009788513;17.6;0.001;64
6;0.9828125;0.9798734188079834;0.9823232650756836;17.2;0.001;32
7;0.99765625;0.9974683523178101;0.9797979593276978;10.2;0.01;64
8;0.9875;0.9874050617218018;0.9818182706832885;16.0;0.001;64
9;0.99140625;0.9924367070198059;0.9818182468414307;12.4;0.01;16
MEAN;0.98859375;0.9876582360267638;0.9830303442478181;12.88;;
STD;0.005817034521558226;0.005678008808779515;0.0036081933971173034;2.869425029513753;;

