-- Parameters range: 
svm_kernel ; ['rbf']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.9196051062736054;0.9362009083622762;0.0;rbf
1;1.0;0.9228075937256806;0.9360406091370559;0.0;rbf
2;1.0;0.9297555385790679;0.9283996794015495;0.0;rbf
3;1.0;0.9220093814926139;0.9353994122361742;0.0;rbf
4;1.0;0.9262838865367726;0.933101790008015;0.0;rbf
5;1.0;0.9254813905171245;0.9310179000801495;0.0;rbf
6;1.0;0.9257494841606991;0.9356131445364679;0.0;rbf
7;1.0;0.9241455630680481;0.933101790008015;0.0;rbf
8;1.0;0.9225430699042573;0.9365215068127171;0.0;rbf
9;1.0;0.9190746307018985;0.9342238845845579;0.0;rbf
MEAN;1.0;0.9237455644959768;0.9339620625166978;0.0;
STD;0.0;0.003066802614259786;0.002486613654668857;0.0;

