-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.8184065934065934;0.8425287356321839;0.0;rbf
1;1.0;0.8298168498168499;0.8406130268199232;0.0;rbf
2;1.0;0.8012271062271061;0.8417624521072797;0.0;rbf
3;1.0;0.8336813186813188;0.8264367816091955;0.0;rbf
4;1.0;0.8279853479853481;0.8157088122605366;0.0;rbf
5;1.0;0.8278388278388278;0.8379310344827585;0.0;rbf
6;1.0;0.8125641025641025;0.8386973180076629;0.0;rbf
7;1.0;0.826025641025641;0.8237547892720306;0.0;rbf
8;1.0;0.8086996336996337;0.8459770114942529;0.0;rbf
9;1.0;0.8107326007326007;0.8662835249042147;0.0;rbf
MEAN;1.0;0.8196978021978023;0.8379693486590039;0.0;
STD;0.0;0.010334375470897755;0.013187481213284153;0.0;

