-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.09

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.7830409356725145;0.8329670329670329;0.0;rbf
1;1.0;0.8473684210526315;0.8395604395604395;0.0;rbf
2;1.0;0.7935672514619884;0.8241758241758242;0.0;rbf
3;1.0;0.7941520467836256;0.8395604395604396;0.0;rbf
4;1.0;0.8140350877192983;0.8021978021978022;0.0;rbf
5;1.0;0.8263157894736842;0.8197802197802198;0.0;rbf
6;1.0;0.7385964912280703;0.843956043956044;0.0;rbf
7;1.0;0.7929824561403509;0.8945054945054945;0.0;rbf
8;1.0;0.7725146198830409;0.821978021978022;0.0;rbf
9;1.0;0.8368421052631578;0.8307692307692307;0.0;sigmoid
MEAN;1.0;0.7999415204678362;0.8349450549450548;0.0;
STD;0.0;0.030706432392145627;0.022976232449589885;0.0;

