-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.7779220779220779;0.7962616822429907;0.0;sigmoid
1;1.0;0.9164502164502165;0.8355140186915888;0.0;rbf
2;1.0;0.861038961038961;0.8411214953271028;0.0;rbf
3;1.0;0.806060606060606;0.805607476635514;0.0;sigmoid
4;1.0;0.8051948051948052;0.8429906542056074;0.0;rbf
5;1.0;0.8982683982683983;0.816822429906542;0.0;rbf
6;1.0;0.8341991341991342;0.8280373831775701;0.0;rbf
7;1.0;0.8796536796536797;0.8579439252336449;0.0;rbf
8;1.0;0.8233766233766234;0.8224299065420559;0.0;sigmoid
9;1.0;0.88008658008658;0.8672897196261682;0.0;rbf
MEAN;1.0;0.8482251082251082;0.8314018691588785;0.0;
STD;0.0;0.043257650218119045;0.021077615490109093;0.0;

