-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.06999999999999999

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.9416842105263157;0.9677248677248678;0.0;rbf
1;1.0;0.9418596491228071;0.9687830687830686;0.0;rbf
2;1.0;0.9444561403508771;0.9566137566137567;0.0;rbf
3;1.0;0.9364210526315789;0.971957671957672;0.0;rbf
4;1.0;0.9498245614035088;0.9698412698412697;0.0;rbf
5;1.0;0.9549473684210525;0.9534391534391535;0.0;rbf
6;1.0;0.960280701754386;0.9634920634920634;0.0;sigmoid
7;1.0;0.9443859649122807;0.9746031746031747;0.0;rbf
8;1.0;0.9470526315789474;0.9566137566137567;0.0;sigmoid
9;1.0;0.9392631578947368;0.967195767195767;0.0;sigmoid
MEAN;1.0;0.946017543859649;0.965026455026455;0.0;
STD;0.0;0.00691103827110013;0.006835233467972104;0.0;

