-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.7063155849203264;0.7376811594202899;0.0;rbf
1;1.0;0.7256574685840134;0.7181964573268921;0.0;rbf
2;1.0;0.7329641145226067;0.7276972624798712;0.0;rbf
3;1.0;0.7176415338774452;0.7144927536231884;0.0;rbf
4;1.0;0.732118797771732;0.715780998389694;0.0;rbf
5;1.0;0.7352636351859049;0.7225442834138487;0.0;rbf
6;1.0;0.7167800233190827;0.7223832528180354;0.0;rbf
7;1.0;0.7256186034460423;0.7359098228663447;0.0;rbf
8;1.0;0.7474057520404198;0.7017713365539453;0.0;rbf
9;1.0;0.7224575722243813;0.7230273752012882;0.0;rbf
MEAN;1.0;0.7262223085891955;0.7219484702093398;0.0;
STD;0.0;0.010884049026147036;0.009959986432427058;0.0;

