-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 16
wavelet_s ; 0.00390625
sparse_ness ; False
sparse_mode ; False
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.9260416746139526;0.8355860710144043;0.8440610885620117;15.2;0.01;64;0.00390625;False;False
1;0.9171875;0.8470696091651917;0.8306511044502258;15.4;0.01;32;0.00390625;False;False
2;0.884375;0.8259340763092041;0.8398464798927308;17.4;0.01;32;0.015625;False;False
3;0.8541666626930237;0.8431684851646424;0.8038311719894409;20.4;0.001;64;0.015625;False;False
4;0.9229166746139527;0.8489926576614379;0.81915682554245;16.8;0.01;16;0.00390625;False;False
5;0.9192708253860473;0.8413003325462342;0.8406127452850342;17.2;0.01;32;0.00390625;False;False
6;0.9171875;0.8258974194526673;0.8432947516441345;15.8;0.01;32;0.00390625;False;False
7;0.8989583253860474;0.8393406629562378;0.8337162256240844;14.6;0.01;16;0.00390625;False;False
8;0.9125;0.8297985076904297;0.8486587643623352;20.2;0.01;16;0.00390625;False;False
9;0.8994791626930236;0.8184248805046082;0.8601529955863952;16.4;0.01;16;0.00390625;False;False
MEAN;0.9052083325386047;0.8355512702465056;0.8363982152938844;16.94;;;;;
STD;0.02096831497400343;0.00964817170616591;0.014995484200723865;1.8805318396666402;;;;;

