-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.08

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.7197636176772867;0.763793103448276;0.0;rbf
1;1.0;0.7386022610483042;0.7477011494252872;0.0;rbf
2;1.0;0.7342548818088386;0.7456896551724138;0.0;rbf
3;1.0;0.718365878725591;0.7385057471264368;0.0;rbf
4;1.0;0.7241109969167523;0.7333333333333334;0.0;rbf
5;1.0;0.7384686536485099;0.7522988505747128;0.0;rbf
6;1.0;0.732754367934224;0.7445402298850576;0.0;rbf
7;1.0;0.7269167523124357;0.7336206896551725;0.0;sigmoid
8;1.0;0.7183453237410072;0.7560344827586207;0.0;rbf
9;1.0;0.7355601233299075;0.7591954022988506;0.0;sigmoid
MEAN;1.0;0.7287142857142858;0.7474712643678162;0.0;
STD;0.0;0.00778425631700586;0.009921744271062807;0.0;

