-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.5414931571495989;0.5435771358328212;0.0;rbf
1;1.0;0.5298631429919773;0.5504609711124768;0.0;rbf
2;1.0;0.5476394525719679;0.5379225568531039;0.0;rbf
3;1.0;0.535979235488438;0.5531653349723417;0.0;rbf
4;1.0;0.5630014157621519;0.5328826060233559;0.0;rbf
5;1.0;0.5587069372345446;0.5385371850030732;0.0;rbf
6;1.0;0.5420915526191601;0.539520590043024;0.0;rbf
7;1.0;0.5488645587541294;0.551321450522434;0.0;rbf
8;1.0;0.5427220386974988;0.5467732022126613;0.0;rbf
9;1.0;0.5507277017461066;0.5180086047940996;0.0;rbf
MEAN;1.0;0.5461089193015574;0.5412169637369392;0.0;
STD;0.0;0.009438150890140868;0.009978775259836741;0.0;

