-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.05

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.7725146198830409;0.8175824175824176;0.0;rbf
1;1.0;0.8467836257309941;0.8131868131868132;0.0;rbf
2;1.0;0.804093567251462;0.8153846153846155;0.0;rbf
3;1.0;0.7836257309941521;0.8351648351648352;0.0;sigmoid
4;1.0;0.802923976608187;0.8021978021978022;0.0;rbf
5;1.0;0.7824561403508772;0.7758241758241758;0.0;rbf
6;1.0;0.7824561403508772;0.8285714285714285;0.0;sigmoid
7;1.0;0.7830409356725145;0.8505494505494507;0.0;sigmoid
8;1.0;0.7415204678362574;0.8175824175824177;0.0;sigmoid
9;1.0;0.760233918128655;0.8241758241758241;0.0;sigmoid
MEAN;1.0;0.7859649122807018;0.818021978021978;0.0;
STD;0.0;0.026780816523174905;0.018875525761392453;0.0;

