-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.9321202531645569;0.9191919191919192;0.0;rbf
1;1.0;0.9319620253164557;0.9247474747474748;0.0;rbf
2;1.0;0.929525316455696;0.9257575757575758;0.0;rbf
3;1.0;0.9219303797468354;0.9363636363636363;0.0;rbf
4;1.0;0.9193987341772152;0.9313131313131313;0.0;rbf
5;1.0;0.9370569620253164;0.9141414141414141;0.0;rbf
6;1.0;0.9193037974683544;0.9368686868686869;0.0;rbf
7;1.0;0.9269620253164558;0.9277777777777777;0.0;rbf
8;1.0;0.926993670886076;0.9297979797979797;0.0;rbf
9;1.0;0.9370886075949368;0.9146464646464645;0.0;rbf
MEAN;1.0;0.9282341772151899;0.926060606060606;0.0;
STD;0.0;0.006225911760315595;0.007673444256690387;0.0;

