-- Parameters range: 
learning_rate ; [0.001, 0.01]
hidden ; [16, 32, 64]
wavelet_s ; [0.00390625, 0.015625, 0.0625, 0.25, 0.5, 1]
sparse_ness ; [False]
sparse_mode ; [False]

-- Best parameters: 
learning_rate ; 0.01
hidden ; 16
wavelet_s ; 0.25
sparse_ness ; False
sparse_mode ; False
mode ; 0.04

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;learning_rate;hidden;wavelet_s;sparse_ness;sparse_mode
0;0.984375;0.9849049925804139;0.9848485350608825;22.8;0.001;64;0.0625;False;False
1;0.99453125;0.9949682831764222;0.9823232889175415;125.4;0.01;16;0.25;False;False
2;0.990625;0.9924366354942322;0.9843434572219849;88.2;0.01;16;0.25;False;False
3;0.99140625;0.989936625957489;0.9808081030845642;56.0;0.001;64;0.0625;False;False
4;0.9859375;0.9823416948318482;0.9924242496490479;86.2;0.01;16;0.25;False;False
5;0.9828125;0.9823416709899903;0.9858586668968201;16.8;0.001;32;0.0625;False;False
6;0.9859375;0.9849049925804139;0.9838384628295899;53.4;0.01;32;0.5;False;False
7;0.996875;0.9949682950973511;0.9767677068710328;127.4;0.001;64;0.0625;False;False
8;0.9890625;0.987404978275299;0.9863636255264282;105.2;0.01;16;0.25;False;False
9;0.9953125;0.9949682474136352;0.9808080911636352;51.4;0.01;16;0.0625;False;False
MEAN;0.9896874999999999;0.9889176416397094;0.9838384187221527;73.28;;;;;
STD;0.004632489712616745;0.004941957801273975;0.0039510282976027355;37.36931361424772;;;;;

