-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.5390316186880604;0.5439459127228027;0.0;rbf
1;1.0;0.5329344030202925;0.5497234173325138;0.0;rbf
2;1.0;0.5445738555922605;0.5375537799631223;0.0;rbf
3;1.0;0.5341349693251534;0.5529194837123541;0.0;rbf
4;1.0;0.5599244926852289;0.5333743085433313;0.0;rbf
5;1.0;0.5599377064653138;0.5408727719729564;0.0;rbf
6;1.0;0.5427069372345447;0.5391518131530424;0.0;rbf
7;1.0;0.5488626710712601;0.5509526736324524;0.0;rbf
8;1.0;0.5421009910335063;0.5460356484326983;0.0;rbf
9;1.0;0.5507258140632374;0.516902274124155;0.0;rbf
MEAN;1.0;0.5454933459178857;0.5411432083589429;0.0;
STD;0.0;0.00896794243579358;0.01002606035111586;0.0;

