-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.1

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.9019773244896939;0.9057974886454716;0.0;rbf
1;1.0;0.9067837330344203;0.9035532994923858;0.0;rbf
2;1.0;0.9145298901208742;0.8976222281592307;0.0;rbf
3;1.0;0.9059840928724932;0.9018434410900348;0.0;rbf
4;1.0;0.9062521865160678;0.9032327010419449;0.0;rbf
5;1.0;0.9081202744479271;0.9012556772642266;0.0;rbf
6;1.0;0.9086546768240007;0.9046753940689287;0.0;rbf
7;1.0;0.9059830219258476;0.9007747795885652;0.0;rbf
8;1.0;0.9065163533552758;0.9045150948437083;0.0;rbf
9;1.0;0.898242576554836;0.9084691423991451;0.0;rbf
MEAN;1.0;0.9063044130141437;0.9031739246593642;0.0;
STD;0.0;0.004008487991412002;0.002848684562684031;0.0;

