-- Parameters range: 
svm_kernel ; ['rbf', 'sigmoid']

-- Best parameters: 
svm_kernel ; rbf
mode ; 0.08

-- Run details: 
run_id;train_acc;valid_acc;test_acc;epoch;svm_kernel
0;1.0;0.9023391812865496;0.9010989010989011;0.0;rbf
1;1.0;0.9228070175438596;0.8945054945054945;0.0;rbf
2;1.0;0.8707602339181287;0.8989010989010989;0.0;rbf
3;1.0;0.8935672514619883;0.887912087912088;0.0;rbf
4;1.0;0.8473684210526315;0.9054945054945055;0.0;rbf
5;1.0;0.8801169590643274;0.9340659340659341;0.0;sigmoid
6;1.0;0.9005847953216375;0.8637362637362637;0.0;rbf
7;1.0;0.923391812865497;0.9054945054945056;0.0;sigmoid
8;1.0;0.8678362573099415;0.923076923076923;0.0;rbf
9;1.0;0.9251461988304094;0.9120879120879121;0.0;rbf
MEAN;1.0;0.8933918128654972;0.9026373626373626;0.0;
STD;0.0;0.02522908954770886;0.018231163347156475;0.0;

